venue_id,venue,city
1,SHEIKH ZAYED STADIUM,ABU DHABI
2,NARENDRA MODI STADIUM,AHMEDABAD
3,M CHINNASWAMY STADIUM,BANGALORE
4,OUTSURANCE OVAL,BLOEMFONTEIN
5,NEWLANDS,CAPE TOWN
6,SUPERSPORT PARK,CENTURION
7,MAHARAJA YADAVINDRA SINGH INTERNATIONAL CRICKET STADIUM,CHANDIGARH
8,PUNJAB CRICKET ASSOCIATION STADIUM,CHANDIGARH
9,MA CHIDAMBARAM STADIUM,CHENNAI
10,BARABATI STADIUM,CUTTACK
11,ARUN JAITLEY STADIUM,DELHI
12,HIMACHAL PRADESH CRICKET ASSOCIATION STADIUM,DHARAMSALA
13,DUBAI INTERNATIONAL CRICKET STADIUM,DUBAI
14,KINGSMEAD,DURBAN
15,BUFFALO PARK,EAST LONDON
16,BARSAPARA CRICKET STADIUM,GUWAHATI
17,RAJIV GANDHI INTERNATIONAL STADIUM,HYDERABAD
18,HOLKAR CRICKET STADIUM,INDORE
19,SAWAI MANSINGH STADIUM,JAIPUR
20,NEW WANDERERS STADIUM,JOHANNESBURG
21,GREEN PARK,KANPUR
22,DE BEERS DIAMOND OVAL,KIMBERLEY
23,NEHRU STADIUM,KOCHI
24,EDEN GARDENS,KOLKATA
25,BHARAT RATNA SHRI ATAL BIHARI VAJPAYEE EKANA CRICKET STADIUM,LUCKNOW
26,MAHARAJA YADAVINDRA SINGH INTERNATIONAL CRICKET STADIUM,MOHALI
27,WANKHEDE STADIUM,MUMBAI
28,BRABOURNE STADIUM,MUMBAI
29,DR DY PATIL SPORTS ACADEMY,MUMBAI
30,VIDARBHA CRICKET ASSOCIATION STADIUM,NAGPUR
31,ST GEORGE'S PARK,PORT ELIZABETH
32,SUBRATA ROY SAHARA STADIUM,PUNE
33,MAHARASHTRA CRICKET ASSOCIATION STADIUM,PUNE
34,SHAHEED VEER NARAYAN SINGH INTERNATIONAL STADIUM,RAIPUR
35,SAURASHTRA CRICKET ASSOCIATION STADIUM,RAJKOT
36,JSCA INTERNATIONAL STADIUM COMPLEX,RANCHI
37,SHARJAH CRICKET STADIUM,SHARJAH
38,DR  Y S  RAJASEKHARA REDDY ACA-VDCA CRICKET STADIUM,VISAKHAPATNAM
